Step Time(ns) rpsystem.singlet rpsystem.t0 rpsystem.tp rpsystem.tm rpsystem.identity 
1 163 0.266553 0.252862 0.232861 0.247724 1 
1 164 0.263866 0.25258 0.234001 0.249554 1 
1 165 0.261854 0.252287 0.234865 0.250994 1 
1 166 0.260544 0.251996 0.235433 0.252027 1 
1 167 0.259951 0.251717 0.235688 0.252644 1 
1 168 0.260073 0.25146 0.235622 0.252844 1 
1 169 0.260897 0.251237 0.23523 0.252636 1 
1 170 0.262393 0.251055 0.234516 0.252036 1 
1 171 0.264521 0.250924 0.233487 0.251068 1 
1 172 0.267228 0.25085 0.232159 0.249762 1 
1 173 0.270453 0.25084 0.230551 0.248156 1 
1 174 0.274125 0.250898 0.228689 0.246288 1 
1 175 0.27817 0.251027 0.226602 0.244202 1 
1 176 0.282509 0.251227 0.224321 0.241943 1 
1 177 0.287063 0.2515 0.221882 0.239556 1 
1 178 0.291752 0.251842 0.219321 0.237085 1 
1 179 0.2965 0.252251 0.216675 0.234574 1 
1 180 0.301237 0.252721 0.213982 0.23206 1 
1 181 0.305899 0.253244 0.211278 0.229579 1 
1 182 0.310426 0.253813 0.208597 0.227163 1 
1 183 0.314772 0.254418 0.205973 0.224837 1 
1 184 0.318897 0.255045 0.203435 0.222623 1 
1 185 0.32277 0.255684 0.20101 0.220536 1 
1 186 0.32637 0.256319 0.198722 0.218589 1 
1 187 0.329685 0.256937 0.196591 0.216787 1 
1 188 0.33271 0.257522 0.194634 0.215134 1 
1 189 0.335448 0.258061 0.192862 0.213629 1 
1 190 0.337907 0.258538 0.191286 0.212269 1 
1 191 0.3401 0.258939 0.189912 0.211049 1 
1 192 0.342044 0.259253 0.188742 0.209961 1 
1 193 0.343756 0.259468 0.187777 0.208999 1 
1 194 0.345254 0.259577 0.187014 0.208155 1 
1 195 0.346557 0.259573 0.186448 0.207422 1 
1 196 0.34768 0.259453 0.186073 0.206793 1 
1 197 0.348638 0.259216 0.185882 0.206264 1 
1 198 0.349439 0.258866 0.185864 0.205831 1 
1 199 0.350091 0.258407 0.186012 0.20549 1 
1 200 0.350594 0.25785 0.186313 0.205243 1 
1 201 0.350947 0.257204 0.18676 0.205089 1 
1 202 0.351144 0.256485 0.187342 0.205029 1 
1 203 0.351175 0.255708 0.188049 0.205068 1 
1 204 0.351028 0.25489 0.188873 0.205209 1 
1 205 0.350686 0.25405 0.189808 0.205456 1 
1 206 0.350136 0.253206 0.190845 0.205813 1 
1 207 0.349359 0.252377 0.19198 0.206284 1 
1 208 0.34834 0.251579 0.193207 0.206873 1 
1 209 0.347064 0.250829 0.194524 0.207583 1 
1 210 0.345519 0.250139 0.195927 0.208414 1 
1 211 0.343698 0.249521 0.197414 0.209368 1 
1 212 0.341594 0.248983 0.198982 0.210442 1 
1 213 0.339208 0.248529 0.200629 0.211633 1 
1 214 0.336547 0.248163 0.202352 0.212938 1 
1 215 0.333622 0.247882 0.204148 0.214348 1 
1 216 0.330448 0.247683 0.206013 0.215856 1 
1 217 0.327051 0.24756 0.207939 0.217451 1 
1 218 0.323458 0.247503 0.209919 0.219121 1 
1 219 0.319703 0.247502 0.211944 0.220852 1 
1 220 0.315824 0.247546 0.214 0.22263 1 
1 221 0.311865 0.247623 0.216075 0.224437 1 
1 222 0.307871 0.24772 0.218151 0.226258 1 
1 223 0.30389 0.247827 0.220209 0.228075 1 
1 224 0.299972 0.247932 0.222228 0.229868 1 
1 225 0.296168 0.248027 0.224186 0.231619 1 
1 226 0.292525 0.248105 0.226059 0.23331 1 
1 227 0.289093 0.248162 0.227822 0.234923 1 
1 228 0.285916 0.248193 0.22945 0.236441 1 
1 229 0.283035 0.248201 0.230917 0.237847 1 
1 230 0.280489 0.248186 0.232199 0.239126 1 
1 231 0.27831 0.248152 0.233275 0.240263 1 
1 232 0.276524 0.248106 0.234122 0.241247 1 
1 233 0.275154 0.248055 0.234724 0.242067 1 
1 234 0.274215 0.248006 0.235065 0.242714 1 
1 235 0.273716 0.247969 0.235134 0.243182 1 
1 236 0.27366 0.247951 0.234925 0.243465 1 
1 237 0.274045 0.24796 0.234434 0.243561 1 
1 238 0.274863 0.248005 0.233663 0.24347 1 
1 239 0.276101 0.248089 0.232618 0.243193 1 
1 240 0.27774 0.248216 0.23131 0.242734 1 
1 241 0.279759 0.248388 0.229755 0.242098 1 
1 242 0.282132 0.248605 0.22797 0.241293 1 
1 243 0.28483 0.248864 0.225979 0.240327 1 
1 244 0.287821 0.249159 0.223807 0.239213 1 
1 245 0.29107 0.249485 0.221484 0.237961 1 
1 246 0.294543 0.249832 0.219041 0.236584 1 
1 247 0.298202 0.250191 0.216508 0.235099 1 
1 248 0.302009 0.250551 0.213921 0.233519 1 
1 249 0.305924 0.250901 0.211313 0.231862 1 
1 250 0.309909 0.25123 0.208718 0.230143 1 
1 251 0.313924 0.251528 0.206167 0.228381 1 
1 252 0.317929 0.251786 0.203693 0.226592 1 
1 253 0.321887 0.251995 0.201325 0.224794 1 
1 254 0.325759 0.252148 0.199089 0.223004 1 
1 255 0.329508 0.252243 0.197011 0.221238 1 
1 256 0.333099 0.252275 0.195112 0.219514 1 
1 257 0.336499 0.252246 0.193408 0.217847 1 
1 258 0.339678 0.252156 0.191915 0.216251 1 
1 259 0.342609 0.252009 0.190642 0.21474 1 
1 260 0.345266 0.25181 0.189597 0.213327 1 
1 261 0.34763 0.251565 0.188782 0.212022 1 
1 262 0.349686 0.251281 0.188196 0.210837 1 
1 263 0.351421 0.250965 0.187836 0.209778 1 
1 264 0.352829 0.250625 0.187693 0.208853 1 
1 265 0.35391 0.250267 0.187757 0.208067 1 
1 266 0.354665 0.249897 0.188015 0.207423 1 
1 267 0.355104 0.249521 0.188453 0.206923 1 
1 268 0.355237 0.249143 0.189053 0.206567 1 
1 269 0.355082 0.248765 0.189798 0.206355 1 
1 270 0.354658 0.24839 0.190669 0.206283 1 
1 271 0.353986 0.248018 0.191648 0.206348 1 
1 272 0.353088 0.247649 0.192717 0.206546 1 
1 273 0.351989 0.247281 0.19386 0.20687 1 
1 274 0.350712 0.246914 0.19506 0.207314 1 
1 275 0.34928 0.246546 0.196303 0.207871 1 
1 276 0.347712 0.246177 0.197579 0.208533 1 
1 277 0.346027 0.245805 0.198876 0.209292 1 
1 278 0.344241 0.245431 0.200188 0.21014 1 
1 279 0.342364 0.245056 0.20151 0.21107 1 
1 280 0.340406 0.244683 0.202838 0.212072 1 
1 281 0.338374 0.244315 0.204172 0.213139 1 
1 282 0.336268 0.243957 0.205511 0.214263 1 
1 283 0.334092 0.243614 0.206858 0.215436 1 
1 284 0.331843 0.243293 0.208214 0.21665 1 
1 285 0.329521 0.242999 0.209582 0.217898 1 
1 286 0.327126 0.242739 0.210964 0.219171 1 
1 287 0.324656 0.242519 0.212362 0.220463 1 
1 288 0.322116 0.242345 0.213774 0.221766 1 
1 289 0.31951 0.24222 0.215199 0.223071 1 
1 290 0.316848 0.242149 0.216632 0.224371 1 
1 291 0.314142 0.242132 0.218068 0.225658 1 
1 292 0.311412 0.24217 0.219496 0.226923 1 
1 293 0.308679 0.24226 0.220904 0.228157 1 
1 294 0.305971 0.2424 0.222278 0.229351 1 
1 295 0.30332 0.242584 0.223601 0.230495 1 
1 296 0.300758 0.242807 0.224854 0.231581 1 
1 297 0.298325 0.243061 0.226017 0.232598 1 
1 298 0.296059 0.243338 0.227067 0.233536 1 
1 299 0.293999 0.24363 0.227984 0.234387 1 
1 300 0.292184 0.24393 0.228746 0.23514 1 
1 301 0.290652 0.24423 0.229332 0.235786 1 
1 302 0.289436 0.244522 0.229723 0.236319 1 
1 303 0.288566 0.244802 0.229904 0.236729 1 
1 304 0.288064 0.245064 0.229861 0.23701 1 
1 305 0.287951 0.245306 0.229585 0.237158 1 
1 306 0.288235 0.245526 0.22907 0.237168 1 
1 307 0.288922 0.245725 0.228315 0.237039 1 
1 308 0.290007 0.245902 0.227323 0.236769 1 
1 309 0.291479 0.24606 0.226102 0.236359 1 
1 310 0.293318 0.246202 0.224665 0.235814 1 
1 311 0.295501 0.246333 0.22303 0.235137 1 
1 312 0.297995 0.246454 0.221216 0.234335 1 
1 313 0.300765 0.246571 0.219248 0.233416 1 
1 314 0.303768 0.246687 0.217154 0.232391 1 
1 315 0.306963 0.246803 0.214964 0.231271 1 
1 316 0.310303 0.246922 0.212708 0.230068 1 
1 317 0.313742 0.247044 0.210419 0.228796 1 
1 318 0.317235 0.247168 0.208129 0.227469 1 
1 319 0.320737 0.247292 0.205869 0.226101 1 
1 320 0.324208 0.247414 0.20367 0.224707 1 
1 321 0.327609 0.247529 0.201559 0.223302 1 
1 322 0.330907 0.247633 0.199562 0.221898 1 
1 323 0.334073 0.247719 0.1977 0.220509 1 
1 324 0.337081 0.247781 0.195992 0.219146 1 
1 325 0.339913 0.247814 0.194454 0.217819 1 
1 326 0.342554 0.247813 0.193095 0.216538 1 
1 327 0.344996 0.247771 0.191924 0.21531 1 
1 328 0.347232 0.247684 0.190942 0.214142 1 
1 329 0.349261 0.247551 0.19015 0.213038 1 
1 330 0.351086 0.247367 0.189544 0.212002 1 
1 331 0.35271 0.247134 0.189118 0.211038 1 
1 332 0.354139 0.246852 0.188862 0.210147 1 
1 333 0.35538 0.246524 0.188765 0.209331 1 
1 334 0.35644 0.246152 0.188816 0.208591 1 
1 335 0.357326 0.245743 0.189002 0.20793 1 
