Step Time(ns) rpsystem.singlet rpsystem.t0 rpsystem.tp rpsystem.tm rpsystem.identity 
1 242 0.173067 0.31701 0.254766 0.255157 1 
1 243 0.187513 0.31231 0.250089 0.250088 1 
1 244 0.205348 0.305954 0.244294 0.244404 1 
1 245 0.226171 0.298162 0.237459 0.238208 1 
1 246 0.249547 0.289179 0.229679 0.231594 1 
1 247 0.275014 0.279268 0.221071 0.224647 1 
1 248 0.302095 0.268699 0.211765 0.217441 1 
1 249 0.330311 0.257741 0.201909 0.210039 1 
1 250 0.35919 0.246661 0.191657 0.202492 1 
1 251 0.388279 0.235706 0.181172 0.194842 1 
1 252 0.417153 0.225105 0.170623 0.187119 1 
1 253 0.445423 0.215056 0.160174 0.179347 1 
1 254 0.472744 0.205726 0.149988 0.171543 1 
1 255 0.498819 0.197243 0.140218 0.16372 1 
1 256 0.523405 0.189698 0.131007 0.15589 1 
1 257 0.546316 0.183136 0.122482 0.148065 1 
1 258 0.567422 0.177564 0.114754 0.14026 1 
1 259 0.586646 0.172946 0.107914 0.132494 1 
1 260 0.60397 0.169209 0.102032 0.124789 1 
1 261 0.619419 0.166247 0.0971547 0.117178 1 
1 262 0.633069 0.163925 0.0933078 0.109698 1 
1 263 0.64503 0.162084 0.0904935 0.102393 1 
1 264 0.655443 0.160549 0.0886929 0.0953143 1 
1 265 0.664476 0.159139 0.0878671 0.0885183 1 
1 266 0.672307 0.157668 0.0879591 0.0820659 1 
1 267 0.679125 0.155958 0.0888966 0.0760206 1 
1 268 0.685112 0.153846 0.090595 0.0704469 1 
1 269 0.690445 0.151187 0.0929601 0.0654078 1 
1 270 0.695279 0.147866 0.0958923 0.0609631 1 
1 271 0.699747 0.143796 0.0992894 0.0571676 1 
1 272 0.703952 0.138929 0.103051 0.0540688 1 
1 273 0.70796 0.133256 0.107079 0.0517056 1 
1 274 0.7118 0.126807 0.111286 0.0501068 1 
1 275 0.715462 0.119655 0.115593 0.0492907 1 
1 276 0.718893 0.11191 0.119933 0.0492639 1 
1 277 0.722003 0.103721 0.124254 0.0500221 1 
1 278 0.724663 0.0952694 0.128518 0.0515497 1 
1 279 0.726713 0.0867633 0.132703 0.0538209 1 
1 280 0.727964 0.0784333 0.136802 0.0568011 1 
1 281 0.728204 0.0705245 0.140823 0.0604479 1 
1 282 0.727211 0.0632886 0.144787 0.0647132 1 
1 283 0.724753 0.0569766 0.148726 0.0695445 1 
1 284 0.720603 0.0518302 0.152679 0.0748871 1 
1 285 0.714547 0.0480744 0.156693 0.0806856 1 
1 286 0.706389 0.0459092 0.160816 0.0868857 1 
1 287 0.695965 0.0455037 0.165096 0.0934353 1 
1 288 0.683148 0.0469892 0.169576 0.100286 1 
1 289 0.667858 0.050455 0.174294 0.107393 1 
1 290 0.650064 0.0559441 0.179276 0.114716 1 
1 291 0.629795 0.0634511 0.184534 0.12222 1 
1 292 0.607139 0.0729213 0.190069 0.129871 1 
1 293 0.582248 0.0842508 0.19586 0.137641 1 
1 294 0.555337 0.097289 0.201873 0.145501 1 
1 295 0.526683 0.111841 0.208052 0.153424 1 
1 296 0.49662 0.127674 0.214327 0.161379 1 
1 297 0.465539 0.144519 0.220607 0.169336 1 
1 298 0.433874 0.162083 0.226789 0.177255 1 
1 299 0.4021 0.180051 0.232756 0.185093 1 
1 300 0.370719 0.198099 0.238384 0.192799 1 
1 301 0.340252 0.215897 0.243538 0.200313 1 
1 302 0.311225 0.233121 0.248086 0.207567 1 
1 303 0.28416 0.24946 0.251895 0.214484 1 
1 304 0.259558 0.264624 0.254839 0.220978 1 
1 305 0.23789 0.278349 0.256803 0.226958 1 
1 306 0.219582 0.290405 0.257687 0.232327 1 
1 307 0.205006 0.300603 0.257407 0.236984 1 
1 308 0.194472 0.308794 0.255904 0.240829 1 
1 309 0.188214 0.314877 0.253142 0.243767 1 
1 310 0.186386 0.318796 0.249112 0.245706 1 
1 311 0.189057 0.320543 0.243834 0.246567 1 
1 312 0.196208 0.320156 0.237355 0.24628 1 
1 313 0.207733 0.317719 0.229752 0.244796 1 
1 314 0.223436 0.313353 0.221127 0.242084 1 
1 315 0.24304 0.307218 0.211608 0.238134 1 
1 316 0.26619 0.299501 0.201346 0.232962 1 
1 317 0.292464 0.290418 0.19051 0.226608 1 
1 318 0.32138 0.2802 0.179283 0.219137 1 
1 319 0.352409 0.269091 0.167857 0.210643 1 
1 320 0.384989 0.257339 0.15643 0.201241 1 
1 321 0.418539 0.245191 0.1452 0.19107 1 
1 322 0.45247 0.232885 0.134359 0.180286 1 
1 323 0.486205 0.220644 0.124086 0.169065 1 
1 324 0.519187 0.208674 0.114547 0.157591 1 
1 325 0.550899 0.197156 0.105889 0.146057 1 
1 326 0.58087 0.186242 0.0982334 0.134655 1 
1 327 0.60869 0.176056 0.0916769 0.123577 1 
1 328 0.63402 0.166691 0.0862871 0.113003 1 
1 329 0.656592 0.158205 0.0821024 0.1031 1 
1 330 0.676224 0.150626 0.0791309 0.0940189 1 
1 331 0.692812 0.143952 0.0773518 0.0858845 1 
1 332 0.706335 0.138151 0.0767165 0.0787973 1 
1 333 0.716854 0.133166 0.0771507 0.072829 1 
1 334 0.724501 0.128919 0.0785585 0.0680211 1 
1 335 0.729476 0.125314 0.0808251 0.0643846 1 
1 336 0.732036 0.122241 0.0838219 0.0619002 1 
1 337 0.732485 0.119583 0.087411 0.0605204 1 
1 338 0.73116 0.117219 0.0914497 0.0601713 1 
1 339 0.728419 0.115028 0.095796 0.0607569 1 
1 340 0.724626 0.112898 0.100313 0.0621627 1 
1 341 0.720141 0.110725 0.104873 0.0642609 1 
1 342 0.715302 0.108419 0.109363 0.0669156 1 
1 343 0.710416 0.105909 0.113687 0.0699884 1 
1 344 0.705746 0.103144 0.117766 0.0733438 1 
1 345 0.701504 0.100094 0.121546 0.0768547 1 
1 346 0.697843 0.0967552 0.124995 0.0804076 1 
1 347 0.694848 0.0931449 0.128101 0.0839062 1 
1 348 0.692542 0.0893061 0.130876 0.0872759 1 
1 349 0.690878 0.0853043 0.133351 0.090466 1 
1 350 0.689745 0.0812262 0.135578 0.0934512 1 
1 351 0.688972 0.0771774 0.137618 0.0962326 1 
1 352 0.688337 0.0732797 0.139547 0.0988366 1 
1 353 0.687573 0.0696671 0.141446 0.101314 1 
1 354 0.686381 0.0664827 0.1434 0.103736 1 
1 355 0.684444 0.0638739 0.14549 0.106192 1 
1 356 0.681436 0.0619884 0.147792 0.108783 1 
1 357 0.677039 0.0609696 0.150371 0.111621 1 
1 358 0.670956 0.0609523 0.153276 0.114816 1 
1 359 0.662922 0.0620583 0.156542 0.118478 1 
1 360 0.65272 0.0643921 0.160182 0.122706 1 
1 361 0.64019 0.0680376 0.164187 0.127585 1 
1 362 0.625238 0.0730546 0.168526 0.133181 1 
1 363 0.607843 0.0794759 0.173148 0.139533 1 
1 364 0.58806 0.0873053 0.177978 0.146656 1 
1 365 0.566028 0.0965161 0.182923 0.154533 1 
1 366 0.541963 0.10705 0.187871 0.163116 1 
1 367 0.516157 0.118818 0.192701 0.172324 1 
1 368 0.488973 0.1317 0.197278 0.182049 1 
1 369 0.460837 0.145546 0.201464 0.192152 1 
1 370 0.432227 0.160181 0.205123 0.202469 1 
1 371 0.40366 0.175403 0.20812 0.212817 1 
1 372 0.375678 0.190993 0.210333 0.222996 1 
1 373 0.348838 0.206713 0.21165 0.232799 1 
1 374 0.323689 0.222314 0.211981 0.242016 1 
1 375 0.300761 0.237543 0.211258 0.250438 1 
1 376 0.280553 0.252143 0.209434 0.25787 1 
1 377 0.263511 0.265862 0.206494 0.264133 1 
1 378 0.250021 0.278461 0.202448 0.26907 1 
1 379 0.240396 0.289714 0.197337 0.272554 1 
1 380 0.234867 0.299417 0.191227 0.274489 1 
1 381 0.233577 0.307392 0.184216 0.274816 1 
1 382 0.236574 0.313492 0.17642 0.273515 1 
1 383 0.243814 0.317603 0.167979 0.270604 1 
1 384 0.255158 0.319651 0.159052 0.26614 1 
1 385 0.270377 0.319599 0.149806 0.260218 1 
1 386 0.28916 0.317452 0.140419 0.252968 1 
1 387 0.311121 0.313258 0.131071 0.244549 1 
1 388 0.33581 0.307103 0.121939 0.235148 1 
1 389 0.362725 0.299114 0.113193 0.224969 1 
